CountryCode,Reference area,Measure,Water type,Unit of measure,Year,Value,Observation status,Unit multiplier
AUT,Austria,Agriculture freshwater abstraction,Ground water,Cubic metres,1990,100.0,Normal value,Millions
AUT,Austria,Irrigable area,Not applicable,Hectares,2020,122347.0,Normal value,Units
AUT,Austria,Irrigable area,Not applicable,Hectares,2016,99750.0,Normal value,Units
AUT,Austria,Agriculture freshwater abstraction,Surface water,Cubic metres,1998,0.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Surface water,Cubic metres,1997,0.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Surface water,Cubic metres,1996,0.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Surface water,Cubic metres,1995,0.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Surface water,Cubic metres,1994,0.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Surface water,Cubic metres,1993,0.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Surface water,Cubic metres,1992,0.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Surface water,Cubic metres,1991,0.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Surface water,Cubic metres,1990,0.0,Normal value,Millions
AUT,Austria,Irrigation area,Not applicable,Hectares,2016,38190.0,Normal value,Units
AUT,Austria,Irrigation area,Not applicable,Hectares,2013,51680.0,Normal value,Units
AUT,Austria,Irrigable area,Not applicable,Hectares,2013,119840.0,Normal value,Units
AUT,Austria,Irrigable area,Not applicable,Hectares,2010,91970.0,Normal value,Units
AUT,Austria,Irrigation area,Not applicable,Hectares,2010,26480.0,Normal value,Units
AUT,Austria,Irrigation area,Not applicable,Hectares,2007,43440.0,Normal value,Units
AUT,Austria,Irrigable area,Not applicable,Hectares,2007,116070.0,Normal value,Units
AUT,Austria,Irrigable area,Not applicable,Hectares,2005,119420.0,Normal value,Units
AUT,Austria,Irrigation area,Not applicable,Hectares,2005,40020.0,Normal value,Units
AUT,Austria,Irrigation area,Not applicable,Hectares,2003,34230.0,Normal value,Units
AUT,Austria,Irrigable area,Not applicable,Hectares,2003,90420.0,Normal value,Units
AUT,Austria,Irrigable area,Not applicable,Hectares,2000,95140.0,Normal value,Units
AUT,Austria,Irrigable area,Not applicable,Hectares,1997,96260.0,Normal value,Units
AUT,Austria,Irrigation area,Not applicable,Hectares,1995,45720.0,Normal value,Units
AUT,Austria,Irrigable area,Not applicable,Hectares,1995,96140.0,Normal value,Units
AUT,Austria,Agriculture freshwater abstraction,Surface water,Cubic metres,2002,0.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Surface water,Cubic metres,2001,0.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Surface water,Cubic metres,2000,0.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Surface water,Cubic metres,1999,0.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Total,Cubic metres,2002,100.0,Estimated value,Millions
AUT,Austria,Agriculture freshwater abstraction,Total,Cubic metres,2001,100.0,Estimated value,Millions
AUT,Austria,Agriculture freshwater abstraction,Total,Cubic metres,2000,100.0,Estimated value,Millions
AUT,Austria,Agriculture freshwater abstraction,Total,Cubic metres,1999,100.0,Estimated value,Millions
AUT,Austria,Agriculture freshwater abstraction,Total,Cubic metres,1998,100.0,Estimated value,Millions
AUT,Austria,Agriculture freshwater abstraction,Total,Cubic metres,1997,100.0,Estimated value,Millions
AUT,Austria,Agriculture freshwater abstraction,Total,Cubic metres,1996,100.0,Estimated value,Millions
AUT,Austria,Agriculture freshwater abstraction,Total,Cubic metres,1995,100.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Total,Cubic metres,1994,100.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Total,Cubic metres,1993,100.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Total,Cubic metres,1992,100.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Total,Cubic metres,1991,100.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Total,Cubic metres,1990,100.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Ground water,Cubic metres,2002,100.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Ground water,Cubic metres,2001,100.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Ground water,Cubic metres,2000,100.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Ground water,Cubic metres,1999,100.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Ground water,Cubic metres,1998,100.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Ground water,Cubic metres,1997,100.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Ground water,Cubic metres,1996,100.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Ground water,Cubic metres,1995,100.0,Normal value,Millions
